Date,Open,High,Low,Close,Adj Close,Volume
2022-03-16,0.025038,0.033247,0.025038,0.028046,0.028046,21987277
2022-03-17,0.027992,0.050559,0.026483,0.044770,0.044770,34868005
2022-03-18,0.044984,0.044984,0.033697,0.036642,0.036642,13175543
2022-03-19,0.036734,0.041493,0.034654,0.035313,0.035313,7850519
2022-03-20,0.035312,0.037576,0.030750,0.031932,0.031932,6803190
2022-03-21,0.031970,0.032419,0.030034,0.030469,0.030469,4236709
2022-03-22,0.030467,0.033920,0.030091,0.032252,0.032252,6234740
2022-03-23,0.032251,0.033056,0.030655,0.030807,0.030807,3636120
2022-03-24,0.030832,0.031267,0.029107,0.029508,0.029508,3407377
2022-03-25,0.029534,0.031663,0.028115,0.028930,0.028930,4074831
2022-03-26,0.028930,0.028958,0.026920,0.028455,0.028455,2936597
2022-03-27,0.028464,0.028649,0.027065,0.027161,0.027161,2686090
2022-03-28,0.027154,0.028841,0.026467,0.028278,0.028278,3725118
2022-03-29,0.028278,0.030370,0.027344,0.028761,0.028761,5063892
2022-03-30,0.028780,0.036895,0.028375,0.033206,0.033206,8620612
2022-03-31,0.033211,0.039263,0.032149,0.035484,0.035484,7948812
2022-04-01,0.035490,0.037679,0.033259,0.034821,0.034821,6327462
2022-04-02,0.034780,0.035967,0.033568,0.034798,0.034798,5264557
2022-04-03,0.034802,0.038086,0.034381,0.037984,0.037984,5840359
2022-04-04,0.037965,0.039203,0.036875,0.037274,0.037274,5745819
2022-04-05,0.037262,0.044067,0.037177,0.042889,0.042889,7224296
2022-04-06,0.042912,0.043357,0.039339,0.040925,0.040925,6311882
2022-04-07,0.041007,0.041149,0.037385,0.039848,0.039848,4229374
2022-04-08,0.039847,0.040930,0.037892,0.037955,0.037955,4052281
2022-04-09,0.037979,0.041665,0.037519,0.041194,0.041194,4142627
2022-04-10,0.041195,0.043558,0.041128,0.042640,0.042640,4488226
2022-04-11,0.042636,0.042636,0.038298,0.038438,0.038438,4524928
2022-04-12,0.038435,0.042794,0.038433,0.041859,0.041859,4494187
2022-04-13,0.041860,0.052612,0.041492,0.050980,0.050980,10277356
2022-04-14,0.050958,0.051884,0.044496,0.045651,0.045651,12273080
2022-04-15,0.045657,0.045912,0.043056,0.043139,0.043139,6989247
2022-04-16,0.043133,0.044053,0.041337,0.041374,0.041374,4584667
2022-04-17,0.041379,0.043175,0.041190,0.042366,0.042366,4868649
2022-04-18,0.042369,0.045787,0.041665,0.042114,0.042114,6718257
2022-04-19,0.042114,0.042125,0.040988,0.040988,0.040988,3315642
2022-04-20,0.040984,0.042916,0.040182,0.042156,0.042156,3795167
2022-04-21,0.042155,0.045527,0.042133,0.043199,0.043199,5294981
2022-04-22,0.043200,0.044755,0.043017,0.044090,0.044090,3748740
2022-04-23,0.044103,0.045381,0.043694,0.044171,0.044171,3326242
2022-04-24,0.044153,0.044335,0.041165,0.041204,0.041204,4239660
2022-04-25,0.041197,0.041403,0.040192,0.041252,0.041252,3273227
2022-04-26,0.041251,0.042700,0.039817,0.040183,0.040183,2825281
2022-04-27,0.040181,0.042449,0.040031,0.041112,0.041112,3701322
2022-04-28,0.041137,0.041626,0.034461,0.035303,0.035303,6255800
2022-04-29,0.035284,0.036392,0.034519,0.035057,0.035057,4145217
2022-04-30,0.035048,0.035456,0.032244,0.032269,0.032269,3359960
2022-05-01,0.032272,0.033073,0.029001,0.029057,0.029057,3891167
2022-05-02,0.028871,0.030080,0.027659,0.029858,0.029858,3828903
2022-05-03,0.029869,0.030231,0.027434,0.027612,0.027612,3622908
2022-05-04,0.027602,0.030761,0.026734,0.030734,0.030734,4165414
2022-05-05,0.030734,0.032885,0.028232,0.028262,0.028262,4421369
2022-05-06,0.028265,0.028352,0.027376,0.027555,0.027555,3252526
2022-05-07,0.027566,0.027691,0.026261,0.026431,0.026431,3311017
2022-05-08,0.026442,0.026490,0.022074,0.022637,0.022637,5254370
2022-05-09,0.022664,0.022980,0.021079,0.021154,0.021154,4508321
2022-05-10,0.021141,0.022288,0.020234,0.021164,0.021164,4788720
2022-05-11,0.021165,0.021199,0.017351,0.017560,0.017560,4864264
2022-05-12,0.017564,0.017948,0.016006,0.016028,0.016028,2632847
2022-05-13,0.016026,0.017914,0.016023,0.016591,0.016591,3108534
2022-05-14,0.016584,0.016741,0.015962,0.016193,0.016193,2597082
2022-05-15,0.016192,0.016456,0.015842,0.016061,0.016061,2596197
2022-05-16,0.016058,0.017580,0.015660,0.015889,0.015889,2958658
2022-05-17,0.015896,0.016324,0.015828,0.016087,0.016087,2763784
2022-05-18,0.016075,0.016578,0.016021,0.016390,0.016390,2932254
2022-05-19,0.016391,0.018737,0.016215,0.018277,0.018277,3967741
2022-05-20,0.018278,0.018325,0.017201,0.017460,0.017460,3279260
2022-05-21,0.017462,0.017759,0.016969,0.017593,0.017593,3308575
2022-05-22,0.017596,0.017727,0.017183,0.017719,0.017719,3453268
2022-05-23,0.017693,0.018539,0.017382,0.018440,0.018440,2732758
2022-05-24,0.018433,0.018872,0.018078,0.018492,0.018492,3425506
2022-05-25,0.018490,0.018534,0.018014,0.018032,0.018032,2882495
2022-05-26,0.018033,0.018110,0.017137,0.017144,0.017144,2890990
2022-05-27,0.017145,0.017145,0.016697,0.016722,0.016722,2922429
2022-05-28,0.016741,0.016869,0.016649,0.016850,0.016850,2968190
2022-05-29,0.016857,0.017122,0.016786,0.016834,0.016834,2929553
2022-05-30,0.016832,0.017292,0.016688,0.017206,0.017206,2940232
2022-05-31,0.017206,0.017251,0.016613,0.016632,0.016632,2770920
2022-06-01,0.016632,0.016994,0.016590,0.016676,0.016676,2812207
2022-06-02,0.016677,0.016912,0.016616,0.016673,0.016673,2773662
2022-06-03,0.016669,0.016962,0.016446,0.016878,0.016878,2812633
2022-06-04,0.016880,0.016956,0.015878,0.015960,0.015960,3249824
2022-06-05,0.015955,0.016051,0.015807,0.015873,0.015873,2993370
2022-06-06,0.015872,0.015881,0.014976,0.015382,0.015382,3211034
2022-06-07,0.015375,0.015510,0.015241,0.015471,0.015471,2920578
2022-06-08,0.015466,0.015478,0.015273,0.015305,0.015305,2698705
2022-06-09,0.015301,0.015326,0.014778,0.014778,0.014778,2826746
2022-06-10,0.014779,0.015210,0.014227,0.014372,0.014372,2865749
2022-06-11,0.014372,0.014462,0.013634,0.013634,0.013634,2350198
2022-06-12,0.013618,0.013655,0.012831,0.012842,0.012842,2768094
2022-06-13,0.012842,0.012878,0.011727,0.011735,0.011735,2787017
2022-06-14,0.011742,0.012074,0.011591,0.011662,0.011662,2578848
2022-06-15,0.011660,0.011663,0.011168,0.011358,0.011358,3076063
2022-06-16,0.011352,0.011453,0.011139,0.011143,0.011143,3048927
2022-06-17,0.011151,0.011489,0.011093,0.011250,0.011250,3008894
