Date,Open,High,Low,Close,Adj Close,Volume
2021-12-15,162.749969,183.473984,160.674179,180.256378,180.256378,1984608
2021-12-16,180.244537,191.064575,177.764145,179.676056,179.676056,1010596
2021-12-17,179.533112,184.757080,171.643860,178.397049,178.397049,1510860
2021-12-18,178.417145,186.652161,174.498154,186.131622,186.131622,542053
2021-12-19,186.137573,191.194641,182.131531,183.349182,183.349182,787222
2021-12-20,183.345383,183.466187,171.542526,176.903900,176.903900,696404
2021-12-21,176.884430,184.613602,173.541718,182.667099,182.667099,481982
2021-12-22,182.673599,189.823273,180.747665,180.798340,180.798340,611366
2021-12-23,180.483307,195.621140,179.470444,193.216568,193.216568,979758
2021-12-24,193.166138,199.889008,190.351624,193.261948,193.261948,1011512
2021-12-25,193.109955,197.704987,192.901642,196.436981,196.436981,405262
2021-12-26,196.419464,203.547211,194.274948,201.235931,201.235931,633586
2021-12-27,201.250763,207.358795,198.905548,199.478729,199.478729,432720
2021-12-28,199.480759,199.480759,180.671387,181.765610,181.765610,1272869
2021-12-29,181.868713,183.037704,173.969757,173.969757,173.969757,846197
2021-12-30,173.849121,178.381500,172.241531,174.918701,174.918701,486894
2021-12-31,174.908798,180.272293,171.582947,173.429779,173.429779,536834
2022-01-01,173.410416,181.790039,173.371857,181.176270,181.176270,534940
2022-01-02,181.135590,182.183914,177.951492,179.334549,179.334549,220945
2022-01-03,179.308426,179.323090,170.456375,173.520828,173.520828,569271
2022-01-04,173.386673,176.297379,169.641541,170.955078,170.955078,249698
2022-01-05,170.958008,173.709778,153.053375,157.665375,157.665375,1992914
2022-01-06,157.656815,157.689758,149.524796,153.346085,153.346085,1437093
2022-01-07,153.342972,153.379517,137.515472,138.936432,138.936432,2679260
2022-01-08,138.935944,150.048660,136.050003,146.250885,146.250885,1658067
2022-01-09,146.250000,147.843811,141.230530,143.350006,143.350006,646309
2022-01-10,143.298508,145.937393,133.509689,138.176025,138.176025,1114280
2022-01-11,138.100006,145.575592,136.798172,143.028015,143.028015,690071
2022-01-12,143.125000,156.300003,141.342346,154.794830,154.794830,758753
2022-01-13,154.794479,160.209610,149.125000,149.413055,149.413055,998170
2022-01-14,149.423584,152.989380,145.136581,149.032166,149.032166,862979
2022-01-15,149.060806,151.912155,147.390503,150.760727,150.760727,327704
2022-01-16,150.753296,154.426956,149.382568,150.856720,150.856720,428545
2022-01-17,150.883774,150.897659,140.591629,142.592255,142.592255,523143
2022-01-18,142.605438,144.453186,137.676270,144.453186,144.453186,580216
2022-01-19,144.420700,144.750519,136.212051,138.668839,138.668839,700066
2022-01-20,138.675201,146.170471,130.356964,130.493439,130.493439,1050440
2022-01-21,130.304794,130.864105,111.716850,114.031876,114.031876,3079054
2022-01-22,114.198029,115.044594,91.087631,95.841583,95.841583,12407723
2022-01-23,95.818275,106.226768,95.594109,101.616554,101.616554,1852134
2022-01-24,101.643188,101.681953,82.878853,93.231628,93.231628,5967207
2022-01-25,93.226349,101.439011,89.416496,96.808006,96.808006,1315367
2022-01-26,96.737183,104.641579,91.423920,93.923676,93.923676,1709445
2022-01-27,93.921257,95.618088,87.794868,90.910851,90.910851,1328238
