Date,Open,High,Low,Close,Adj Close,Volume
2021-09-15,0.005008,0.005400,0.004001,0.005306,0.005306,79387
2021-09-16,0.005306,0.005372,0.004058,0.004206,0.004206,132857
2021-09-17,0.004207,0.004538,0.003075,0.003086,0.003086,162298
2021-09-18,0.003087,0.004995,0.003079,0.003820,0.003820,151257
2021-09-19,0.003819,0.006269,0.003747,0.004360,0.004360,101144
2021-09-20,0.004360,0.004589,0.002512,0.003100,0.003100,169594
2021-09-21,0.003099,0.003655,0.003010,0.003010,0.003010,92981
2021-09-22,0.003010,0.003501,0.003010,0.003495,0.003495,84068
2021-09-23,0.003495,0.004388,0.003078,0.003371,0.003371,313844
2021-09-24,0.003370,0.004112,0.003140,0.004110,0.004110,277989
2021-09-25,0.004111,0.004137,0.003394,0.004006,0.004006,94840
2021-09-26,0.004007,0.005189,0.003618,0.005188,0.005188,202686
2021-09-27,0.005189,0.005585,0.004295,0.005050,0.005050,171266
2021-09-28,0.005051,0.005052,0.003948,0.004723,0.004723,436352
2021-09-29,0.004724,0.004781,0.004076,0.004620,0.004620,213393
2021-09-30,0.004620,0.005574,0.004422,0.005561,0.005561,631309
2021-10-01,0.005560,0.006707,0.004694,0.005520,0.005520,789879
2021-10-02,0.005520,0.006826,0.005350,0.006225,0.006225,644211
2021-10-03,0.006224,0.006993,0.006209,0.006915,0.006915,684247
2021-10-04,0.006915,0.007862,0.006174,0.006866,0.006866,443633
2021-10-05,0.006866,0.008142,0.006223,0.007419,0.007419,1227374
2021-10-06,0.007419,0.010855,0.007418,0.008518,0.008518,1971532
2021-10-07,0.008517,0.013184,0.008491,0.009116,0.009116,2931612
2021-10-08,0.009116,0.013218,0.008765,0.013216,0.013216,3154988
2021-10-09,0.013216,0.024158,0.011139,0.016848,0.016848,7249707
2021-10-10,0.016846,0.018746,0.013548,0.015544,0.015544,3537320
2021-10-11,0.015545,0.016183,0.012028,0.014011,0.014011,2704443
2021-10-12,0.014012,0.015506,0.011113,0.013557,0.013557,1742242
2021-10-13,0.013558,0.018978,0.013555,0.018034,0.018034,2138647
2021-10-14,0.018033,0.019476,0.015000,0.017719,0.017719,3342193
2021-10-15,0.017719,0.018870,0.015667,0.015718,0.015718,1893276
2021-10-16,0.015718,0.017898,0.014191,0.014581,0.014581,970036
2021-10-17,0.014580,0.016712,0.013986,0.014003,0.014003,860673
2021-10-18,0.014003,0.014847,0.013002,0.014314,0.014314,1141807
2021-10-19,0.014314,0.015978,0.013631,0.015157,0.015157,1304557
2021-10-20,0.015157,0.020134,0.014864,0.018832,0.018832,2896953
2021-10-21,0.018843,0.024678,0.018278,0.024561,0.024561,4422693
2021-10-22,0.024556,0.032910,0.024467,0.029934,0.029934,7233896
2021-10-23,0.029932,0.032797,0.027438,0.031443,0.031443,4875267
2021-10-24,0.031443,0.042347,0.030525,0.039628,0.039628,9475541
2021-10-25,0.039617,0.078291,0.039617,0.066366,0.066366,30902194
2021-10-26,0.066359,0.090818,0.065552,0.080954,0.080954,52643952
2021-10-27,0.080953,0.129093,0.074509,0.120075,0.120075,39238839
2021-10-28,0.120070,0.245158,0.118082,0.218269,0.218269,84279369
2021-10-29,0.218282,0.245975,0.128738,0.214467,0.214467,61759917
2021-10-30,0.214471,0.238435,0.131503,0.144687,0.144687,80078676
2021-10-31,0.144831,0.160953,0.127246,0.146091,0.146091,57800213
2021-11-01,0.146085,0.157712,0.105239,0.105956,0.105956,55238417
2021-11-02,0.106311,0.108357,0.076056,0.089799,0.089799,55484980
2021-11-03,0.089364,0.109142,0.080570,0.102813,0.102813,28901879
2021-11-04,0.102649,0.131832,0.094577,0.127408,0.127408,32514828
2021-11-05,0.127403,0.170735,0.115198,0.164820,0.164820,72329572
2021-11-06,0.164255,0.216317,0.163800,0.202714,0.202714,102699493
2021-11-07,0.202645,0.202645,0.153745,0.175674,0.175674,66707057
2021-11-08,0.175574,0.176323,0.153306,0.164459,0.164459,39989330
2021-11-09,0.164185,0.190392,0.163411,0.171050,0.171050,32418894
2021-11-10,0.171041,0.198335,0.142316,0.149350,0.149350,36817447
2021-11-11,0.149429,0.162590,0.149429,0.154733,0.154733,23164259
2021-11-12,0.154776,0.165847,0.149078,0.151719,0.151719,28202696
2021-11-13,0.151691,0.152598,0.128823,0.142564,0.142564,23852722
2021-11-14,0.142598,0.143029,0.127440,0.127683,0.127683,17137588
2021-11-15,0.127650,0.127650,0.107934,0.121065,0.121065,34196379
2021-11-16,0.121042,0.121295,0.084781,0.095445,0.095445,38793931
2021-11-17,0.095408,0.110783,0.089552,0.110609,0.110609,27514129
2021-11-18,0.110586,0.123908,0.093765,0.093808,0.093808,35128414
2021-11-19,0.093810,0.113548,0.092295,0.108073,0.108073,22663116
2021-11-20,0.108077,0.117104,0.106619,0.116442,0.116442,17159400
2021-11-21,0.116460,0.120629,0.111563,0.116667,0.116667,14176212
2021-11-22,0.116776,0.116864,0.096075,0.097458,0.097458,20319980
2021-11-23,0.097440,0.098346,0.090074,0.094913,0.094913,15101454
2021-11-24,0.094905,0.095027,0.082949,0.091620,0.091620,14524522
2021-11-25,0.083124,0.085003,0.076243,0.082526,0.082526,15383752
2021-11-26,0.082407,0.082574,0.066160,0.067404,0.067404,12733182
2021-11-27,0.067393,0.071070,0.066971,0.067197,0.067197,7528400
2021-11-28,0.067246,0.067246,0.057183,0.062454,0.062454,13488998
2021-11-29,0.062422,0.069621,0.062350,0.068281,0.068281,9467003
2021-11-30,0.068269,0.084040,0.068001,0.081065,0.081065,18425650
2021-12-01,0.081080,0.081080,0.071363,0.072216,0.072216,11223064
2021-12-02,0.072243,0.073647,0.063360,0.063360,0.063360,8991720
2021-12-03,0.063417,0.070526,0.063029,0.066099,0.066099,10137976
2021-12-04,0.066100,0.066100,0.056289,0.060121,0.060121,8632520
2021-12-05,0.060152,0.060752,0.048010,0.048011,0.048011,9649389
2021-12-06,0.047998,0.048029,0.031256,0.044289,0.044289,27915106
2021-12-07,0.044295,0.049383,0.044295,0.045050,0.045050,13047506
2021-12-08,0.045066,0.047451,0.040551,0.047425,0.047425,11637753
2021-12-09,0.047411,0.048635,0.041586,0.042772,0.042772,7803799
2021-12-10,0.042758,0.043851,0.037618,0.038318,0.038318,4972775
2021-12-11,0.038295,0.039703,0.037551,0.039491,0.039491,1728919
2021-12-12,0.039478,0.042119,0.039244,0.041992,0.041992,2570878
2021-12-13,0.042002,0.042042,0.036347,0.036347,0.036347,6236804
2021-12-14,0.036345,0.039586,0.035612,0.038564,0.038564,7397374
2021-12-15,0.039573,0.040308,0.036789,0.040308,0.040308,8608744
2021-12-16,0.040299,0.044027,0.040299,0.043594,0.043594,4928285
2021-12-17,0.043573,0.043890,0.039807,0.040338,0.040338,6711370
2021-12-18,0.040318,0.042812,0.039797,0.042784,0.042784,3404116
2021-12-19,0.042792,0.043094,0.042023,0.042909,0.042909,2943516
2021-12-20,0.042906,0.042920,0.039534,0.040307,0.040307,4477647
2021-12-21,0.040304,0.042080,0.039536,0.041512,0.041512,3865085
2021-12-22,0.041511,0.042024,0.040949,0.041663,0.041663,3747425
2021-12-23,0.041613,0.042406,0.039583,0.042398,0.042398,4465836
2021-12-24,0.042388,0.045016,0.042088,0.044376,0.044376,5629043
2021-12-25,0.044360,0.044664,0.042909,0.043957,0.043957,2821206
2021-12-26,0.043947,0.044070,0.041862,0.043066,0.043066,4559528
2021-12-27,0.043073,0.044325,0.042621,0.043379,0.043379,4903874
2021-12-28,0.043368,0.043401,0.039876,0.040187,0.040187,2250299
2021-12-29,0.040203,0.040606,0.038061,0.038561,0.038561,3674835
2021-12-30,0.038548,0.038616,0.037649,0.038272,0.038272,1797631
2021-12-31,0.038272,0.038272,0.036087,0.036197,0.036197,3711560
2022-01-01,0.036193,0.037696,0.035981,0.037687,0.037687,2218156
2022-01-02,0.037683,0.039964,0.037414,0.039956,0.039956,4373671
2022-01-03,0.039959,0.040466,0.038822,0.039110,0.039110,4540382
2022-01-04,0.039100,0.039302,0.037781,0.037854,0.037854,3339748
2022-01-05,0.037854,0.038412,0.035836,0.036162,0.036162,3628385
2022-01-06,0.036120,0.036142,0.032371,0.032683,0.032683,4615000
2022-01-07,0.032687,0.033123,0.030887,0.031249,0.031249,3938110
2022-01-08,0.031252,0.032126,0.030491,0.030896,0.030896,3312728
2022-01-09,0.030932,0.031870,0.030801,0.031577,0.031577,2406134
